qid,text,query
558,"قال الرسول (صلى الله عليه وسلم):"""" كل مولود يولد على الفطرة"""" هل هذا المعنى موجود في القرآن؟",قال رسول صلي الله علي سلم كل مولود ولد فطره هل هذا معني موجود قران
559,من هم الذين حاولوا  التحايل على حكم الله المتعلق بالأوقات المباحة للصيد؟,هم الذي حاول تحايل حكم الله متعلق وقت مباح صيد
560,المصلح هو الصالح في ذاته والمصلح لغيره. ما الدلائل على أن الصالح قد يهلك وأما المصلح فإن الله ينجيه؟,مصالح هو صالح ذات مصالح غير ما دليل ان صالح قد اهلك اما مصالح ان الله انجي
561,ما هي أخطار وعواقب السكوت عن المنكر؟,ما هي خطر عاقبه سكوت منكر
562,إذا كان الشيطان شراً فلماذا خلقه الله وسمح له بغواية الإنسان؟,اذا كان شيطان شر لماذا خلق الله سمح ل غواي انسان
563,ماذا قال عيسى عليه السلام عندما سأله الله إذا كان قد طلب من أمته ان يعبدوه من دون الله؟,ماذا قال عيسي علي سلام عند سال الله اذا كان قد طلب امه ان عبد دون الله
568,لماذا يعادي الشيطان الإنسان؟,لماذا عادي شيطان انسان
570,من هو المؤمن  بتعريف القرآن؟,هو مءمن تعريف قران
571,هل البيع مثل الربا؟,هل بيع مثل ربا
575,لماذا سُمي شهر رمضان بشهر القرآن؟,لماذا سمي شهر رمضان شهر قران
576,ما هي أكثر صفقات البيع ربحا التي ذكرها القرآن؟,ما هي اكثر صفقه بيع ربح الذي ذكر قران
577,هل للصدقة علاقة بنمو المال؟,هل صدقه علاقه نمو مال
580,هل يستطيع الشيطان أن يغوي جميع الناس؟,هل استطاع شيطان ان يغوي جميع ناس
582,من هم العشرة المبشرين بالجنة؟,هم عشر مبشر جنه
602,هل يعتبر الإسلام ديناً متعدد الثقافات والعرقيات؟,هل اعتبر اسلام دين متعدد ثقافه عرقي
604,هل يمكن للإنسان أن يحيا ويتحلَّى بالأخلاق الحميدة ويكون متعاوناً ومحباً ومحترماً دون الحاجة لدين؟,هل امكن انسان ان حي تحلي خلق حميده كان متعاون محب محترم دون حاجه دين
610,ما الرد على الزعم باحتواء القرآن مفاهيم عقلية أو علمية مغلوطة؟,ما رد زعم احتواء قران مفهوم عقليه او علمي مغلوط
611,هل هناك دليل أو أدلة على وحدة الأديان التي أنزلها الله؟,هل هناك دليل او دليل وحده دين الذي انزل الله
613,كيف نوفق بين الخوف من الله والرجاء فيه؟,كيف نوفق بين خوف الله رجاء في
