qid,text,query
251,كم استغرق سيدنا نوح عليه السلام في بناء السفينة؟,كم استغرق سيد نوح علي سلام بناء سفينه
252,أين يقع الجودي؟,اين وقع جودي
253,ما هي الأحداث التي وقعت بين سيدنا موسى والخضر؟,ما هي حدث الذي وقع بين سيد موسي خضر
255,كم دام إبتلاء أيوب عليه السلام؟,كم دامي ابتلاء ايوب علي سلام
257,ما هو سبب نزول سيدنا آدم من الجنة؟,ما هو سبب نزول سيد ادم جنه
258,من هو النبي الذي عايش طالوت؟,هو نبي الذي عاءش طالو
265,من شارك في غزوة بدر؟,شارك غزو بدر
266,من هم الانصار المذكورين في القرآن؟,هم انصار مذكور قران
268,من هم الذين حاربوا الرسول محمد عليه السلام في مكة؟,هم الذي حارب رسول محمد علي سلام مكه
301,هل حجاب المرأة فرض؟,هل حجاب مراه فرض
302,ما هو الجهاد؟,ما هو جهاد
303,على من فُرض الجهاد في سبيل الله؟,فرض جهاد سبيل الله
304,ضد من فُرض الجهاد؟,ضد فرض جهاد
306,هل يجب ذكر اسم الله على المأكل والمشرب؟,هل وجب ذكر اسم الله ماكل مشرب
307,بماذا شبه الله الذي يُتبع الحسنة بالأذى؟,ماذا شبه الله الذي تبع حسن اذي
308,بماذا شبه الله الحياة الدنيا؟,ماذا شبه الله حياه دنيا
310,ما هي شروط قبول التوبة؟,ما هي شرط قبول توبه
311,ما هو أثر الكلام الطيب؟,ما هو اثر كلام طيب
313,ماذا يشمل الإحسان؟,ماذا شمل احسان
314,من هم المحسنون؟,هم محسن
316,ما هي مصارف الزكاة؟,ما هي مصرف زكاه
317,على من تجوز الصدقة؟,جاز صدقه
323,هل حفظ القرآن عن ظهر قلب  فرض؟,هل حفظ قران ظهر قلب فرض
324,هل تجويد القرآن فرض؟,هل تجويد قران فرض
325,ما هو البر؟,ما هو بر
326,ماذا يشمل البر؟,ماذا شمل بر
327,من هم الأبرار؟,هم بار
328,ما هي العلامات والدلائل التي تشير الى موعد يوم القيامة؟,ما هي علامه دليل الذي اشار موعد يوم قيامه
332,ما هي الآيات التي تلمح إلى عذاب القبر وأهواله؟,ما هي ايه الذي لمح عذاب قبر هول
334,كيف نفسر أوجه التناقض في أمر خروج المرأة المسلمة للقتال والصلاة في عهد رسول الله (ص) وبين ما أمروا به من بقائهن في بيوتهن والامتناع عن التبرج كتبرج الجاهلية الأولى في سورة الأحزاب آية 33؟,كيف فسر اوج تناقض امر خروج مراه مسلم قتال صلاه عهد رسول الله ص بين ما امر ب بقاء بيت امتناع تبرج تبرج جاهليه اول سوره حزب ايه 33
338,هل يوجد علاقة بين أجزاء الدّماغ وقدرات الإنسان؟,هل وجد علاقه بين جزء دماغ قدره انسان
339,هل هناك فرق بين العقل والدماغ؟,هل هناك فرق بين عقل دماغ
341,هل ورد في القرآن إشارة لصوت ذي تأثير إيجابي على جسم الإنسان؟,هل ورد قران اشاره صوت ذو تاثير ايجابي جسم انسان
343,هل الضوء هو النور في القرآن؟,هل ضوء هو نور قران
344,ما هي المنافع الصحية لصلاة الفجر؟,ما هي منفعه صحي صلاه فجر
345,هل ذكر القرآن أوقات نوم معيّنة؟,هل ذكر قران وقت نوم معين
347,هل هناك إشارات في القرآن إلى كروية الأرض؟,هل هناك اشاره قران كروي ارض
348,لماذا تلبس المرأة المسلمة الحجاب؟,لماذا لبس مراه مسلم حجاب
349,"لماذا قام العبد الذي آتاه الله العلم في سورة الكهف بقتل الغلام مع ان في الآية 93  من سورة النساء قال الله تعالى: ""من يقتل مؤمنا متعمدا فجزاؤه جهنم خالدا فيها وغضب اللـه عليه ولعنه وأعد له عذابا عظيما""؟",لماذا قام عبد الذي اتي الله علم سوره كهف قتل غلام مع ان ايه 93 سوره نساء قال الله تعالي قتل مءمن متعمد جزاء جهنم خالد في غضب الله علي لعن اعد ل عذاب عظيم
350,ما هي الآيات التي ذكر فيها الشفاء؟,ما هي ايه الذي ذكر في شفاء
351,هل يؤثم الحاكم الذي لا يحكم بما أنزل الله وشرّع؟,هل يءثم حاكم الذي لا حكم ما انزل الله شرع
354,هل  لفظ (العام) مثل لفظ (السّنة) في القرآن؟,هل لفظ عام مثل لفظ سنه قران
356,ما هي أنواع الجهاد؟,ما هي نوع جهاد
357,ما هو فضل الجهاد في سبيل الله؟,ما هو فضل جهاد سبيل الله
358,هل هناك فرق بين فرض العين وفرض الكفاية؟,هل هناك فرق بين فرض عين فرض كفايه
361,ما الدلائل على أن هناك اختلاف بين الرسول  والنبي؟,ما دليل ان هناك اختلاف بين رسول نبي
362,هل استخدم لفظ (المطر) في القرآن للعذاب فقط؟,هل استخدم لفظ مطر قران عذاب فقط
363,هل كلمة (صوم) في القرآن لا تعني صياما عن الأكل والشرب؟,هل كلمه صوم قران لا عني صيام اكل شرب
364,"لماذا سيُحاسب ويُعذب الضال يوم القيامة ان كان ""من يضلل الله فما له من هاد"" كما ورد من قوله تعالى في آية 23 و آية 36 من سورة الزمر؟",لماذا حاسب عذب ضال يوم قيامه ان كان اضل الله ما ل هادي كما ورد قول تعالي ايه 23 و ايه 36 سوره زمره
365,هل هناك إشارات في القرآن عن نهاية الكيان الصهيوني؟,هل هناك اشاره قران نهايه كيان صهيوني
367,من هم الشفعاء؟,هم شفيع
368,ما هي عقوبة من يتهم المرأة بالزنا بغير دليل؟,ما هي عقوبه اتهم مراه زنا غير دليل
369,ما الدلائل على أن المسيح لم يصلب؟,ما دليل ان مسيح لم صلب
370,ما هي شروط الشفاعة؟,ما هي شرط شفاعه
371,هل كان سيدنا يوسف عليه السلام رسولا أم نبيا؟,هل كان سيد يوسف علي سلام رسول ام نبي
372,ما الدلائل على أن القرآن ليس من تأليف سيدنا محمد (ص)؟,ما دليل ان قران ليس تاليف سيد محمد ص
373,هل سيدنا محمد (ص) هو أول المسلمين؟,هل سيد محمد ص هو اول مسلم
374,كيف يكون سيدنا محمد (ص) هو أول المسلمين (الأنعام:163 و غافر: 12) مع أن سيدنا إبراهيم كان حنيفا مسلما قبله (آل عمران:67)؟,كيف كان سيد محمد ص هو اول مسلم انعام 163 و غافر 12 مع ان سيد ابراهيم كان حنيف مسلم قبل ال عمران 67
391,اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح سبي النساء، كيف نرد على ذلك؟,اتهم قران ان سبب ديكتاتوري اسلامي كون اباح سبي نساء كيف رد ذلك
375,لماذا لا تعادل شهادة مرأة واحدة بشهادة رجل واحد في الأمور المالية أو ما هو متعلق بالأمور المالية؟,لماذا لا عادل شهاده مراه واحد شهاده رجل واحد امر ماليه او ما هو متعلق امر ماليه
376,هل تجوز شهادة أربعة نساء بدلا من رجلين في الأمور المالية أو ما هو متعلق بالأمور المالية؟,هل جاز شهاده اربع نساء بدل رجل امر ماليه او ما هو متعلق امر ماليه
378,إن كان الله قدّر علي أفعالي فلماذا يحاسبني؟,ان كان الله قدر علي فعل لماذا حاسب
379,لماذا يتوضأ المسلمون؟,لماذا توضا مسلم
380,ما الغاية من الوضوء قبل الصلاة؟,ما غايه وضوء قبل صلاه
381,مقاتلو داعش مثلا أو المفسدون في الأرض من التنظيمات الإرهابية، يتوضؤون أيضا، فهل هذا يجعلهم أطهارا؟,مقاتل داعش مثل او مفسد ارض تنظيم ارهابي يتوضءون ايض هل هذا جعل اطهار
382,لو كان الوضوء للنظافة، لماذا علينا إعادته بعد خروج الريح؟,لو كان وضوء نظافه لماذا علي اعاده بعد خروج ريح
385,مع أن السؤال هو أساس كل العلوم، لماذا نهى الله المؤمنين عن طرح الأسئلة كما جاء في سورة المائدة آية 101؟,مع ان سءال هو اساس كل علم لماذا نهي الله مءمن طرح سءال كما جاء سوره ماءده ايه 101
387,ألا يعد تكليف المؤمن بالثبات أمام عشرة (الأنفال:65) تكليفا بما لا يطاق؟,ان عد تكليف مءمن ثبات امام عشر نفل 65 تكليف ما لا اطاق
388,"هل التعبير ""الآن خفف الله عنكم وعلم أن فيكم ضعفا"" (الأنفال:66) يعني بأن الله لم يكن يعلم وهو من المفترض أن الله عالم بالغيب؟",هل تعبير ان خفف الله عن علم ان في ضعف نفل 66 عني ان الله لم كان علم هو مفترض ان الله عالم غيب
389,ما الدليل على أن القرآن صالح لكل مكان وزمان؟,ما دليل ان قران صالح كل مكان زمان
392,اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح ضرب  النساء في حالة النشوز، كيف نرد على ذلك؟,اتهم قران ان سبب ديكتاتوري اسلامي كون اباح ضرب نساء حاله نشوز كيف رد ذلك
393,اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه أباح التكفير وقتال الكفار حتى يسلموا، كيف نرد على ذلك؟,اتهم قران ان سبب ديكتاتوري اسلامي كون اباح تكفير قتال كافر سلم كيف رد ذلك
394,اتهم القرآن بأنه السبب في الدكتاتورية الإسلامية لكونه فرض الجزية على غير المسلمين، كيف نرد على ذلك؟,اتهم قران ان سبب ديكتاتوري اسلامي كون فرض جزيه غير مسلم كيف رد ذلك
395,لماذا حرم الله التبني؟,لماذا حرم الله تبني
396,لماذا أباح القرآن حرمة الأشهر الحرم؟,لماذا اباح قران حرمه شهر حرم
398,هل بعثة النبي محمد تشمل الجن مع الإنس؟,هل بعثه نبي محمد شمل جن مع انس
399,هل تحدث سيدنا محمد مع الجن؟,هل تحدث سيد محمد مع جن
400,متى يحل الإسلام دم الشخص؟,متي حل اسلام دم شخص
401,هل أخبر القرآن عن الذرّة؟,هل اخبر قران ذره
402,هل ذكر القرآن أن الإنجيل تم تحريفه؟,هل ذكر قران ان انجيل تم تحريف
404,هل مات المسيح بالفعل؟,هل مات مسيح فعل
405,هل أشار القرآن الى نقص الأكسجين في المرتفعات؟,هل اشار قران نقص اكسجين مرتفع
407,هل ذكر القرآن أن التوراة تم تحريفها؟,هل ذكر قران ان توراه تم تحريف
408,ما حكم من يرتد عن دين الإسلام؟,ما حكم ارتد دين اسلام
409,هل تحدثت الحيوانات في القرآن؟,هل تحدث حيوان قران
410,هل يجوز معاملة أهل الكتاب بالبر والحسنى؟,هل جاز معامله اهل كتاب بر حسني
411,هل لم يتغير أي حرف من القرآن؟,هل لم تغير اي حرف قران
412,لماذا لم يساوِ الإسلام بين الرجل والمرأة في الشهادة أمام القاضي؟,لماذا لم يساو اسلام بين رجل مراه شهاده امام قاضي
413,هل يجوز سبي النساء واسترقاقهن كما تفعله بعض الجهات المنتسبة للإسلام بالباطل؟,هل جاز سبي نساء واسترقاقهن كما فعل بعض جهه منتسب اسلام باطل
414,لماذا لا يكتفي المسلمون بالقرآن الكريم ويلجأون للسنة أيضاً؟,لماذا لا اكتفي مسلم قران كريم لجا سنه ايض
415,هل هناك إسلام بدون الحديث الشريف؟,هل هناك اسلام دون حديث شريف
416,هل الإسلام دين سلام؟,هل اسلام دين سلام
417,هل سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام؟,هل سمح اسلام حريه اعتقاد دخول اسلام
418,سمح الإسلام بحرية الاعتقاد بالدخول إلى الإسلام (لا إكراه في الدين)، ولكن لماذا رفض لمن دخل في الإسلام الخروج منه ولم يجعله حراً؟,سمح اسلام حريه اعتقاد دخول اسلام لا اكراه دين لكن لماذا رفض من دخل اسلام خروج من لم جعل حر
421,هل وجود قراءات مختلفة للقرآن لا يعني تحريفه؟,هل وجود قراءه مختلف قران لا عني تحريف
422,ما هي الأماكن التي ذُكرت في القرآن كأماكن مقدسة؟,ما هي مكان الذي ذكر قران مكان مقدس
423,لماذا لم يتم حذف الآيات المنسوخة من القرآن؟,لماذا لم تم حذف ايه منسوخ قران
425,هل سيدنا محمد هو أفضل الأنبياء؟,هل سيد محمد هو افضل نبي
426,هل حذر القرآن المؤمنين من اتخاذ أهل الكتاب أولياء لهم؟,هل حذر قران مءمن اتخاذ اهل كتاب ولي ل
427,بأي طريقة حث القرآن المؤمنين على مجادلة أهل الكتاب؟,اي طريقه حث قران مءمن مجادله اهل كتاب
